Name,Year,Cases_Value,Deaths_Value
Bomi,2010,39421.90452775957,157.50644085610634
Bomi,2011,39033.88096016446,155.82575849126977
Bomi,2012,38417.442369682496,129.67310448743214
Bomi,2013,40641.75174900125,119.1727101805723
Bomi,2014,43748.80591684073,132.33586278443772
Bomi,2015,44350.45669702708,138.91763574951318
Bomi,2016,49622.59887674928,142.83977674529865
Bomi,2017,57365.439897182,195.0871330144284
Bomi,2018,59687.6756510481,206.666693108195
Bomi,2019,58138.79438577471,190.674239972584
Bomi,2020,59501.57286390313,238.870170560915
Bong,2010,145531.7803242973,567.2738116308816
Bong,2011,146224.15526318384,560.0798838167625
Bong,2012,146000.99376934435,457.0515499797335
Bong,2013,155977.0370697044,418.4053619221746
Bong,2014,172139.33946372938,472.05831695074113
Bong,2015,183255.527467446,491.61551546405184
Bong,2016,198795.6730140268,503.8664387426754
Bong,2017,201476.4036019829,595.2353147951179
Bong,2018,197129.3673853657,614.9452889935845
Bong,2019,189648.8927984191,579.8575335177405
Bong,2020,178196.48099643635,711.2429095908639
Gbapolu,2010,38223.98797920838,157.0341155751829
Gbapolu,2011,39496.34493528506,157.1249390418025
Gbapolu,2012,39268.344811019095,128.2674317639462
Gbapolu,2013,41911.482158277366,117.0121807496959
Gbapolu,2014,46500.19806025803,134.04500219053782
Gbapolu,2015,48421.16031869019,141.6636077372434
Gbapolu,2016,52854.89179191548,147.03477787886914
Gbapolu,2017,55926.69335435654,185.70720202716672
Gbapolu,2018,54877.70514871919,192.73727477769103
Gbapolu,2019,53590.77530677162,184.8612573041329
Gbapolu,2020,51835.63249909863,226.9102152289083
Grand Bassa,2010,85909.69645707529,304.1300377598058
Grand Bassa,2011,85790.16558738142,303.099255895764
Grand Bassa,2012,84193.95407066266,246.2818532925402
Grand Bassa,2013,91334.15386685984,225.09820079971695
Grand Bassa,2014,100928.96049766356,253.8839396541537
Grand Bassa,2015,105022.64699038769,265.619988516026
Grand Bassa,2016,114681.19684092322,272.64409700014056
Grand Bassa,2017,120357.21161598957,301.09853078200433
Grand Bassa,2018,117049.16303278948,311.3375369649567
Grand Bassa,2019,112859.37885907666,294.0377773946987
Grand Bassa,2020,108564.27054826086,361.45153664728247
Grand Cape Mount,2010,53009.73291643868,215.6283063350168
Grand Cape Mount,2011,53843.55165607147,216.15690379897583
Grand Cape Mount,2012,52275.49593651218,176.53080099879628
Grand Cape Mount,2013,54845.04778079434,160.59254606472064
Grand Cape Mount,2014,59952.23344703105,181.9054978558216
Grand Cape Mount,2015,61749.22939012483,191.92414492561343
Grand Cape Mount,2016,69031.07965441502,198.81886986304175
Grand Cape Mount,2017,77185.07395627447,312.1942228232747
Grand Cape Mount,2018,76320.56185783117,322.8302710695845
Grand Cape Mount,2019,74137.74190346152,308.5208662396888
Grand Cape Mount,2020,71969.48071108831,379.6263362210975
Grand Gedeh,2010,66863.6081193167,330.73806901315163
Grand Gedeh,2011,66492.30216759704,332.73313045541784
Grand Gedeh,2012,62684.48693017,273.0768542449531
Grand Gedeh,2013,62686.976432823394,252.88144290287903
Grand Gedeh,2014,66739.49492272089,288.8619022160651
Grand Gedeh,2015,69975.38535007167,306.90639399625275
Grand Gedeh,2016,77585.17361164872,322.58313617397084
Grand Gedeh,2017,82874.49731139423,269.8421494082639
Grand Gedeh,2018,82583.8188980267,282.12984764744
Grand Gedeh,2019,80996.56343800909,269.1858167358832
Grand Gedeh,2020,78645.39893991101,333.8459349030634
Grand Kru,2010,32106.2181199932,126.6763471296329
Grand Kru,2011,34009.9323631942,124.01714539411871
Grand Kru,2012,34109.60890442309,98.4438875706305
Grand Kru,2013,34734.01921314198,88.81592160559754
Grand Kru,2014,35332.11575822899,98.42346077215628
Grand Kru,2015,35237.351106539674,101.26381830369073
Grand Kru,2016,35136.71980935525,102.32346811145617
Grand Kru,2017,34688.531674772246,109.47273610176204
Grand Kru,2018,33554.9557726747,111.47056546582732
Grand Kru,2019,31053.576060181826,103.27912246860372
Grand Kru,2020,29222.82839630797,125.00298524723438
Lofa,2010,158842.39891912177,594.61043851115
Lofa,2011,153827.41031039436,587.4524183197212
Lofa,2012,142835.61455815888,473.3214328095261
Lofa,2013,142427.01322415378,430.651344516847
Lofa,2014,148736.66254847034,485.56348067109536
Lofa,2015,147687.07146669,505.6469859060272
Lofa,2016,155218.2360814805,523.6671381666682
Lofa,2017,162866.6298377076,555.2690047126179
Lofa,2018,155311.56262243996,574.4691811961522
Lofa,2019,150399.83412220795,545.1204332128381
Lofa,2020,148281.80528903587,667.5629352823993
Margibi,2010,89258.4206704145,288.55585278745457
Margibi,2011,90994.92501976444,290.6176566855846
Margibi,2012,86505.30730729041,230.3904945178741
Margibi,2013,95694.84926728296,217.0498100035932
Margibi,2014,101650.29627454856,237.8500158606908
Margibi,2015,103397.93920210809,245.68253898295384
Margibi,2016,115642.24079048536,253.43774297900967
Margibi,2017,130402.37299229528,344.74338333064003
Margibi,2018,134079.001906884,362.8653562160335
Margibi,2019,123597.84008896828,328.42257424219883
Margibi,2020,126937.22544664684,417.5679009300959
Maryland,2010,73921.03779120845,315.8830085227873
Maryland,2011,77551.03814176147,320.6803920618943
Maryland,2012,75791.38001454304,264.918290072855
Maryland,2013,75795.10503508392,245.52915844922572
Maryland,2014,80011.24673744013,280.24107288875865
Maryland,2015,82419.6168750521,298.1145059494015
Maryland,2016,87953.55702720456,309.9488355858159
Maryland,2017,91021.31199722478,274.1671171096634
Maryland,2018,88351.79008963103,285.2082693457352
Maryland,2019,85267.56770133512,273.89518801474867
Maryland,2020,82069.87585013258,337.8129489851263
Montserrado,2010,241869.83045233332,518.1516953981208
Montserrado,2011,231838.3026663356,530.3780385796049
Montserrado,2012,221904.18536022707,436.8066796989947
Montserrado,2013,232894.3754919672,411.8047290309258
Montserrado,2014,263212.3368661479,471.8537039738246
Montserrado,2015,277115.15724367445,500.72178295259295
Montserrado,2016,325695.29183819593,526.8533889315611
Montserrado,2017,390265.5016263462,651.5066565142586
Montserrado,2018,416317.55402356334,689.8008100452721
Montserrado,2019,445691.9509369327,656.6129563491787
Montserrado,2020,474933.4947358616,830.8414919371754
Nimba,2010,244346.8948929572,1018.928272070106
Nimba,2011,236833.36584860663,1009.0233128703402
Nimba,2012,231545.3245155904,820.116832748758
Nimba,2013,244731.0258571309,752.0026298492604
Nimba,2014,265081.6541554402,849.038187405692
Nimba,2015,277573.5834843952,889.5787541005798
Nimba,2016,294999.8892262961,919.8427274761276
Nimba,2017,298519.0063476187,813.8574707278077
Nimba,2018,290355.33303414297,845.8533397325307
Nimba,2019,280395.04448649153,798.9009722605722
Nimba,2020,266007.5975837032,981.7161578682772
River Cess,2010,28316.523039253767,131.1451322370432
River Cess,2011,29743.218152117508,131.8039636606634
River Cess,2012,31706.89340753731,108.420087708132
River Cess,2013,35573.09221277237,98.97649711674612
River Cess,2014,39898.5942232118,112.68177700789047
River Cess,2015,42586.6778497071,118.9417274976582
River Cess,2016,46158.89560061149,124.8061938636338
River Cess,2017,47284.5888561448,120.14072910894951
River Cess,2018,45781.54406862118,124.75336209510763
River Cess,2019,44381.36505756912,119.672202634759
River Cess,2020,42896.98650010861,147.94134904639822
River Gee,2010,44849.33981563536,223.22379407143976
River Gee,2011,45838.89071848621,223.42320054967212
River Gee,2012,43737.28827746789,182.36803964876415
River Gee,2013,43919.80524366692,167.556260142914
River Gee,2014,46724.01854705566,190.75958406958915
River Gee,2015,48713.059648616094,201.2050489229262
River Gee,2016,52306.8089795919,209.473939959952
River Gee,2017,53697.925205354935,191.7275963846542
River Gee,2018,52628.41530408273,199.00327925830027
River Gee,2019,50819.21393217735,188.94551169427388
River Gee,2020,49396.68585136405,232.5430708914953
Sinoe,2010,44458.107968102,182.1651840866815
Sinoe,2011,47871.37030329009,182.3382574931809
Sinoe,2012,51193.73655470201,148.24566670088106
Sinoe,2013,55545.13952416027,135.3363473450733
Sinoe,2014,59381.276203441645,153.62471399156107
Sinoe,2015,61687.11494744969,161.7615421610541
Sinoe,2016,63628.50584161079,167.9583241489467
Sinoe,2017,64100.23824946403,192.7900024323852
Sinoe,2018,63174.83179041593,199.265330763395
Sinoe,2019,60955.88916086569,189.7940163686231
Sinoe,2020,58274.850530256495,232.6659256941344
